MaNhanVien,Tuoi,GioiTinh,TinhTrangHonNhan,DiaDiemLamViec,LoaiHopDong,TrinhDoHocVan,LinhVucDaoTao,PhongBan,ViTriCongViec,CapBacCongViec,TanSuatCongTac,LamThemGio,ThuNhapHangThang_VND,PhanTramTangLuong,KhoangCachNha_Km,HaiLong_CongViec,HaiLong_MoiTruong,CanBangCongViec_CuocSong,MucDoGanKetCongViec,HaiLong_QuanHe,DanhGiaHieuSuat,SoLanDaoTao_Nam,SoCongTyDaLam,TongNamKinhNghiem,SoNamTaiCongTy,SoNam_ViTriHienTai,SoNam_TuLanThangChuc,SoNam_VoiQuanLyHienTai,NghiViec
NV20260491,20,Nam,Độc thân,Hải Phòng,Toàn thời gian,Cao đẳng,Nhân sự,Tài chính - Kế toán,Trưởng nhóm tài chính,1,Thường xuyên,Không,11500000,11,12,3,5,4,5,2,3,2,1,0,0,0,0,0,Có
NV20260492,29,Nam,Độc thân,Đà Nẵng,Toàn thời gian,Đại học,Kinh tế,Nhân sự,Chuyên viên tuyển dụng,3,Không công tác,Không,24000000,3,2,2,3,3,3,4,3,2,1,8,7,3,2,5,Không
NV20260493,37,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Nhân sự,Marketing,Chuyên viên nội dung,2,Ít,Không,23800000,11,10,4,4,4,1,4,4,5,2,16,3,2,1,2,Không
NV20260494,24,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Nhân sự,Nhân sự,Trưởng nhóm nhân sự,1,Không công tác,Có,10100000,4,20,1,1,4,3,4,3,5,1,0,0,0,0,0,Có
NV20260495,23,Nam,Độc thân,Cần Thơ,Thử việc,Đại học,Công nghệ thông tin,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,1,Không công tác,Không,15400000,6,13,3,3,4,5,3,4,2,2,5,1,1,1,0,Không
NV20260496,30,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Tài chính - Kế toán,Trưởng nhóm tài chính,1,Thường xuyên,Có,15700000,9,8,4,5,4,4,4,3,4,1,10,1,1,1,0,Có
NV20260497,45,Nữ,Độc thân,Hải Phòng,Toàn thời gian,Đại học,Kinh tế,Nhân sự,Trưởng nhóm nhân sự,3,Không công tác,Không,29400000,7,15,2,3,4,5,5,2,3,3,22,7,4,2,4,Không
NV20260498,32,Nam,Đã kết hôn,Hải Phòng,Thử việc,Cao đẳng,Khác,Công nghệ thông tin,Kỹ sư dữ liệu,2,Ít,Không,21200000,8,4,5,3,5,2,3,3,2,2,9,3,2,2,1,Không
NV20260499,43,Nữ,Độc thân,Hải Phòng,Thử việc,Cao đẳng,Nhân sự,Tài chính - Kế toán,Kế toán viên,1,Không công tác,Không,19900000,6,4,3,1,4,1,3,5,2,1,21,1,1,1,1,Có
NV20260500,34,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Tài chính,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,4,Không công tác,Không,32500000,12,8,4,5,4,3,2,2,3,1,16,10,5,7,3,Không
NV20260501,27,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Marketing,Công nghệ thông tin,Trưởng nhóm kỹ thuật,2,Không công tác,Không,18600000,12,7,3,4,5,4,3,2,4,1,5,2,2,1,2,Không
NV20260502,21,Nữ,Ly hôn,Hà Nội,Thử việc,Đại học,Công nghệ thông tin,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,1,Thường xuyên,Không,12300000,11,7,1,4,4,1,4,1,6,2,2,1,1,0,0,Có
NV20260503,30,Nữ,Độc thân,Đà Nẵng,Hợp đồng xác định thời hạn,Đại học,Khác,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,3,Ít,Có,20200000,11,1,3,3,4,2,4,4,6,0,7,5,2,3,3,Không
NV20260504,27,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kỹ thuật,Kinh doanh,Quản lý kinh doanh,2,Ít,Không,19500000,6,7,3,4,3,4,1,3,2,1,4,3,2,2,2,Không
NV20260505,35,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kỹ thuật,Công nghệ thông tin,Trưởng nhóm kỹ thuật,3,Ít,Không,22100000,4,6,4,3,2,4,2,4,2,2,7,7,3,4,6,Không
NV20260506,33,Nữ,Độc thân,Hải Phòng,Toàn thời gian,Thạc sĩ,Khác,Công nghệ thông tin,Trưởng nhóm kỹ thuật,3,Thường xuyên,Không,23900000,8,18,3,2,3,5,4,3,3,3,5,5,2,2,4,Không
NV20260507,23,Nam,Đã kết hôn,Cần Thơ,Toàn thời gian,Đại học,Marketing,Nhân sự,Trưởng nhóm nhân sự,1,Ít,Có,11100000,8,12,2,5,2,5,3,4,6,1,0,0,0,0,0,Có
NV20260508,36,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Marketing,Chuyên viên marketing,3,Ít,Không,23800000,8,12,3,4,2,1,2,5,3,2,9,4,2,2,1,Có
NV20260509,35,Nữ,Đã kết hôn,Bình Dương,Toàn thời gian,Thạc sĩ,Kinh tế,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,2,Không công tác,Không,22500000,10,15,3,4,3,3,4,3,3,2,17,3,1,2,2,Không
NV20260510,31,Nữ,Độc thân,Hà Nội,Toàn thời gian,Đại học,Khác,Kinh doanh,Quản lý kinh doanh,1,Ít,Không,13400000,10,12,5,3,3,2,2,4,2,2,0,0,0,0,0,Không
NV20260511,33,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Cao đẳng,Kỹ thuật,Kinh doanh,Quản lý kinh doanh,1,Ít,Có,16700000,13,3,4,4,4,4,2,3,7,6,9,0,0,0,0,Không
NV20260512,20,Nam,Độc thân,Bình Dương,Toàn thời gian,Thạc sĩ,Tài chính,Vận hành,Trưởng nhóm vận hành,1,Ít,Không,9900000,11,1,1,2,5,2,1,2,5,1,0,0,0,0,0,Không
NV20260513,36,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Thạc sĩ,Nhân sự,Công nghệ thông tin,Trưởng nhóm kỹ thuật,2,Không công tác,Có,25000000,14,9,3,4,4,3,3,3,3,2,16,3,2,1,2,Không
NV20260514,32,Nam,Đã kết hôn,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Tài chính,Kinh doanh,Quản lý kinh doanh,2,Không công tác,Có,20900000,4,11,3,3,4,4,2,4,4,3,7,2,1,1,1,Có
NV20260515,24,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Tiến sĩ,Công nghệ thông tin,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,2,Ít,Không,17700000,12,2,3,5,2,4,4,4,4,1,6,3,3,1,1,Có
NV20260516,31,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Kinh doanh,Nhân viên kinh doanh,1,Không công tác,Không,14700000,11,6,3,3,2,3,3,2,4,1,4,1,1,1,1,Không
NV20260517,32,Nam,Độc thân,Hải Phòng,Toàn thời gian,Đại học,Kinh tế,Kinh doanh,Trưởng nhóm kinh doanh,2,Thường xuyên,Không,18500000,8,13,2,3,1,4,3,4,2,1,3,3,2,2,2,Có
NV20260518,30,Nữ,Độc thân,Hà Nội,Toàn thời gian,Cao đẳng,Marketing,Nhân sự,Chuyên viên tuyển dụng,1,Không công tác,Không,11700000,8,11,3,5,3,2,2,2,4,0,4,1,1,1,0,Không
NV20260519,29,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,THPT,Tài chính,Tài chính - Kế toán,Kế toán viên,3,Không công tác,Không,25800000,11,20,1,3,3,4,4,3,4,3,11,4,2,2,3,Không
NV20260520,30,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kỹ thuật,Kinh doanh,Nhân viên kinh doanh,2,Không công tác,Có,21200000,10,8,3,4,4,2,2,3,5,1,12,3,2,1,2,Có
NV20260521,21,Nữ,Đã kết hôn,Đà Nẵng,Thử việc,Đại học,Công nghệ thông tin,Công nghệ thông tin,Kỹ sư dữ liệu,1,Ít,Không,12700000,10,4,2,3,3,4,4,4,0,2,0,0,0,0,0,Có
NV20260522,37,Nữ,Đã kết hôn,Đà Nẵng,Toàn thời gian,Thạc sĩ,Khác,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,3,Không công tác,Có,20400000,8,7,2,4,3,2,4,2,3,0,9,6,3,4,5,Có
NV20260523,38,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Thạc sĩ,Marketing,Vận hành,Điều phối viên,5,Không công tác,Không,35100000,8,6,3,3,3,3,3,4,3,2,14,13,7,10,8,Không
NV20260524,35,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Marketing,Kinh doanh,Quản lý kinh doanh,3,Không công tác,Không,28000000,5,4,5,3,1,4,5,2,5,2,17,6,4,3,4,Không
NV20260525,31,Nam,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Kỹ thuật,Nhân sự,Chuyên viên tuyển dụng,2,Không công tác,Không,18700000,3,2,5,4,2,4,5,2,4,2,7,3,1,2,1,Không
NV20260526,40,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Khác,Marketing,Chuyên viên marketing,2,Ít,Không,23800000,8,11,3,5,5,4,5,3,4,3,18,3,2,1,2,Không
NV20260527,29,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Tài chính,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,2,Thường xuyên,Có,20300000,9,8,3,4,4,4,2,3,3,4,11,3,1,2,2,Không
NV20260528,32,Nữ,Đã kết hôn,Hà Nội,Hợp đồng xác định thời hạn,Cao đẳng,Nhân sự,Công nghệ thông tin,Kỹ sư dữ liệu,2,Thường xuyên,Không,22400000,9,12,1,5,3,3,4,2,4,2,12,2,1,1,1,Có
NV20260529,25,Nam,Đã kết hôn,Hải Phòng,Thử việc,Đại học,Khác,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,1,Thường xuyên,Không,11300000,9,4,4,5,5,2,4,2,2,0,0,0,0,0,0,Có
NV20260530,36,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Khác,Nhân sự,Chuyên viên nhân sự,3,Ít,Không,26100000,3,14,3,1,5,5,3,4,1,3,18,5,4,2,4,Không
NV20260531,23,Nam,Độc thân,Hà Nội,Toàn thời gian,Thạc sĩ,Kinh tế,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,2,Không công tác,Không,18500000,14,7,4,3,4,3,5,3,1,1,5,3,1,1,2,Không
NV20260532,42,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Marketing,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,3,Thường xuyên,Không,24900000,8,3,4,4,4,3,1,4,4,2,14,4,2,3,3,Không
NV20260533,36,Nữ,Độc thân,TP. Hồ Chí Minh,Thử việc,Thạc sĩ,Công nghệ thông tin,Marketing,Chuyên viên nội dung,1,Ít,Có,17200000,11,10,2,5,4,3,3,4,2,3,15,1,1,0,0,Có
NV20260534,26,Nam,Đã kết hôn,Hà Nội,Hợp đồng xác định thời hạn,Đại học,Tài chính,Vận hành,Điều phối viên,3,Không công tác,Không,19000000,7,8,4,5,5,4,2,3,1,6,5,5,3,3,4,Không
NV20260535,25,Nam,Độc thân,Hà Nội,Toàn thời gian,THPT,Công nghệ thông tin,Tài chính - Kế toán,Kế toán viên,1,Ít,Không,13100000,4,5,3,4,4,4,5,3,4,1,0,0,0,0,0,Không
NV20260536,21,Nữ,Độc thân,Hà Nội,Hợp đồng xác định thời hạn,Đại học,Công nghệ thông tin,Nghiên cứu và Phát triển,Chuyên viên R&D,1,Ít,Có,11700000,3,14,4,2,2,4,4,5,5,3,0,0,0,0,0,Có
NV20260537,34,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Kinh tế,Kinh doanh,Trưởng nhóm kinh doanh,3,Không công tác,Không,25500000,9,13,5,2,4,4,4,3,2,2,11,5,3,4,3,Không
NV20260538,22,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Vận hành,Điều phối viên,1,Ít,Có,14000000,9,4,4,5,3,4,3,2,6,5,0,0,0,0,0,Có
NV20260539,33,Nam,Đã kết hôn,Đà Nẵng,Hợp đồng xác định thời hạn,Thạc sĩ,Công nghệ thông tin,Vận hành,Nhân viên vận hành,2,Không công tác,Không,18800000,8,6,5,2,4,5,3,3,3,1,11,2,1,1,1,Không
NV20260540,31,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Vận hành,Nhân viên vận hành,2,Không công tác,Không,21200000,4,5,3,4,4,4,3,2,2,1,6,2,1,1,2,Không
NV20260541,28,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,THPT,Nhân sự,Kinh doanh,Quản lý kinh doanh,4,Ít,Không,28600000,9,15,3,4,2,3,3,5,0,2,10,8,5,5,7,Không
NV20260542,33,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Kinh doanh,Quản lý kinh doanh,3,Ít,Không,23200000,8,3,2,4,4,4,5,4,3,1,9,5,3,3,3,Không
NV20260543,29,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kinh tế,Nhân sự,Trưởng nhóm nhân sự,1,Ít,Không,16700000,10,4,4,4,2,3,3,5,3,2,10,1,1,1,1,Không
NV20260544,33,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Tài chính,Marketing,Chuyên viên nội dung,3,Không công tác,Không,25300000,12,12,1,4,4,2,4,4,1,2,15,6,4,4,2,Có
NV20260545,32,Nữ,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Marketing,Công nghệ thông tin,Lập trình viên,1,Thường xuyên,Có,16600000,12,10,3,3,3,3,2,2,3,5,11,0,0,0,0,Không
NV20260546,26,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Kỹ thuật,Vận hành,Điều phối viên,2,Ít,Không,19500000,16,31,5,3,5,2,5,2,3,1,3,3,1,2,2,Không
NV20260547,20,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,THPT,Marketing,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,1,Thường xuyên,Không,10000000,10,29,3,3,1,2,4,2,3,3,0,0,0,0,0,Có
NV20260548,32,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Thạc sĩ,Kinh tế,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,3,Ít,Không,25600000,5,7,4,4,2,2,3,5,0,3,14,4,2,2,3,Không
NV20260549,37,Nam,Đã kết hôn,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Marketing,Nhân sự,Trưởng nhóm nhân sự,3,Ít,Không,26100000,13,8,3,5,5,5,5,4,1,4,11,6,3,3,3,Không
NV20260550,28,Nữ,Độc thân,Hà Nội,Toàn thời gian,Đại học,Khác,Vận hành,Điều phối viên,4,Không công tác,Có,27200000,11,7,4,4,2,5,4,4,3,1,10,8,4,4,5,Không
NV20260551,23,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Tài chính,Kinh doanh,Trưởng nhóm kinh doanh,1,Không công tác,Không,10500000,11,3,5,3,3,5,2,5,3,6,0,0,0,0,0,Có
NV20260552,33,Nữ,Độc thân,Đà Nẵng,Toàn thời gian,Đại học,Kinh tế,Marketing,Chuyên viên marketing,4,Ít,Có,27800000,13,11,3,4,3,3,4,2,4,1,13,8,4,2,3,Không
NV20260553,40,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Tài chính,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,3,Không công tác,Không,21600000,12,6,3,5,3,2,3,4,4,1,11,5,4,3,3,Không
NV20260554,33,Nam,Độc thân,Đà Nẵng,Toàn thời gian,Thạc sĩ,Kinh tế,Kinh doanh,Quản lý kinh doanh,4,Không công tác,Có,26800000,11,9,2,4,4,4,3,4,2,2,9,9,3,5,6,Có
NV20260555,29,Nữ,Ly hôn,Hà Nội,Toàn thời gian,Đại học,Khác,Nhân sự,Chuyên viên tuyển dụng,1,Ít,Có,10300000,9,2,2,1,3,4,2,3,2,0,0,0,0,0,0,Không
NV20260556,20,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kinh tế,Công nghệ thông tin,Lập trình viên,1,Ít,Không,10300000,5,5,2,2,3,3,3,3,2,0,0,0,0,0,0,Không
NV20260557,30,Nam,Đã kết hôn,Đà Nẵng,Hợp đồng xác định thời hạn,Đại học,Công nghệ thông tin,Kinh doanh,Quản lý kinh doanh,2,Không công tác,Không,19500000,5,11,3,2,3,3,2,3,2,1,9,2,1,0,1,Không
NV20260558,31,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Khác,Vận hành,Điều phối viên,3,Không công tác,Có,24200000,13,25,3,3,3,3,5,4,2,1,13,4,3,3,3,Có
NV20260559,32,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Thạc sĩ,Công nghệ thông tin,Tài chính - Kế toán,Chuyên viên tài chính,1,Ít,Không,13900000,11,9,2,3,1,5,1,3,3,1,0,0,0,0,0,Có
NV20260560,24,Nữ,Độc thân,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Kinh doanh,Trưởng nhóm kinh doanh,1,Không công tác,Không,12000000,18,11,3,4,5,3,4,3,3,1,0,0,0,0,0,Không
NV20260561,27,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Kinh doanh,Nhân viên kinh doanh,1,Ít,Có,13200000,17,4,4,4,5,2,2,5,3,1,0,0,0,0,0,Không
NV20260562,34,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Tài chính,Kinh doanh,Trưởng nhóm kinh doanh,2,Không công tác,Không,17800000,5,10,2,4,3,4,3,4,2,4,3,3,2,1,1,Không
NV20260563,37,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Kỹ thuật,Công nghệ thông tin,Kỹ sư kiểm thử,2,Không công tác,Không,23800000,13,7,3,3,3,3,3,3,4,1,18,3,1,1,1,Không
NV20260564,40,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Kỹ thuật,Tài chính - Kế toán,Chuyên viên tài chính,3,Thường xuyên,Không,26400000,10,5,4,5,2,4,5,2,2,3,15,7,4,2,5,Không
NV20260565,32,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Kinh tế,Tài chính - Kế toán,Trưởng nhóm tài chính,4,Không công tác,Có,29000000,9,10,4,3,3,3,4,4,3,3,14,10,6,4,8,Không
NV20260566,39,Nữ,Độc thân,Hải Phòng,Toàn thời gian,Thạc sĩ,Nhân sự,Tài chính - Kế toán,Trưởng nhóm tài chính,5,Ít,Không,34200000,5,3,4,2,4,3,3,1,2,1,14,13,8,5,10,Không
NV20260567,29,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Khác,Tài chính - Kế toán,Kế toán viên,3,Ít,Không,25100000,11,4,2,4,5,3,4,2,3,0,11,4,2,3,3,Không
NV20260568,31,Nam,Đã kết hôn,Đà Nẵng,Toàn thời gian,Cao đẳng,Nhân sự,Tài chính - Kế toán,Trưởng nhóm tài chính,3,Không công tác,Không,24500000,8,3,5,3,3,3,2,3,4,1,13,7,5,2,4,Không
NV20260569,38,Nam,Độc thân,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Công nghệ thông tin,Công nghệ thông tin,Lập trình viên,2,Không công tác,Có,20900000,7,8,3,3,3,4,5,4,5,1,10,2,2,1,1,Có
NV20260570,26,Nam,Độc thân,Hà Nội,Toàn thời gian,Cao đẳng,Khác,Kinh doanh,Trưởng nhóm kinh doanh,3,Ít,Không,21600000,16,4,5,4,2,3,4,3,3,0,8,5,4,3,4,Không
NV20260571,32,Nữ,Đã kết hôn,Đà Nẵng,Thử việc,Đại học,Kinh tế,Vận hành,Điều phối viên,3,Không công tác,Không,27500000,6,12,4,1,1,4,5,4,4,5,14,4,2,2,2,Không
NV20260572,24,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Kinh tế,Nhân sự,Chuyên viên tuyển dụng,3,Ít,Không,21000000,6,2,1,4,1,4,4,4,5,2,6,4,2,1,2,Có
NV20260573,39,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Marketing,Công nghệ thông tin,Kỹ sư dữ liệu,1,Không công tác,Có,22700000,7,2,3,4,3,2,4,5,4,2,18,1,1,0,1,Có
NV20260574,38,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Nhân sự,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,5,Không công tác,Có,33400000,8,5,5,2,3,3,4,4,3,4,17,17,11,6,9,Không
NV20260575,33,Nữ,Ly hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Kỹ thuật,Kinh doanh,Quản lý kinh doanh,2,Không công tác,Có,17200000,8,1,2,4,3,4,4,3,1,2,2,2,2,1,1,Không
NV20260576,35,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Kỹ thuật,Công nghệ thông tin,Kỹ sư dữ liệu,2,Thường xuyên,Không,20600000,8,12,3,3,3,3,4,4,3,6,12,3,2,2,1,Không
NV20260577,30,Nữ,Ly hôn,TP. Hồ Chí Minh,Hợp đồng xác định thời hạn,Đại học,Tài chính,Nghiên cứu và Phát triển,Kỹ sư R&D,2,Không công tác,Không,19600000,11,3,4,2,3,4,4,2,5,1,7,2,1,2,1,Không
NV20260578,25,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Công nghệ thông tin,Trưởng nhóm kỹ thuật,2,Thường xuyên,Có,19100000,8,7,2,4,5,2,3,4,3,2,7,3,2,2,2,Có
NV20260579,26,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Kinh doanh,Nhân viên kinh doanh,2,Ít,Không,13800000,16,8,4,4,5,3,4,4,3,1,3,3,2,2,2,Không
NV20260580,33,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Tiến sĩ,Công nghệ thông tin,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,3,Không công tác,Không,23300000,9,14,5,2,2,3,4,3,5,0,9,5,3,3,2,Không
NV20260581,38,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Khác,Marketing,Chuyên viên marketing,3,Không công tác,Không,27900000,10,12,3,4,3,5,5,2,4,3,18,7,5,4,6,Không
NV20260582,37,Nữ,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Công nghệ thông tin,Trưởng nhóm kỹ thuật,4,Thường xuyên,Không,31100000,3,28,3,5,5,3,5,3,4,3,19,8,5,2,5,Không
NV20260583,34,Nam,Độc thân,TP. Hồ Chí Minh,Thử việc,Đại học,Nhân sự,Kinh doanh,Nhân viên kinh doanh,4,Không công tác,Có,27500000,5,3,5,4,4,5,5,3,2,2,10,10,6,3,3,Không
NV20260584,32,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Kinh tế,Công nghệ thông tin,Kỹ sư kiểm thử,3,Ít,Không,25500000,14,6,4,4,5,5,1,4,3,1,14,6,2,3,5,Không
NV20260585,24,Nữ,Đã kết hôn,Bình Dương,Toàn thời gian,THPT,Công nghệ thông tin,Vận hành,Trưởng nhóm vận hành,2,Thường xuyên,Không,17400000,8,7,3,5,3,4,5,4,3,2,4,2,1,2,2,Không
NV20260586,33,Nữ,Đã kết hôn,Bình Dương,Toàn thời gian,Đại học,Công nghệ thông tin,Chăm sóc khách hàng,Trưởng nhóm chăm sóc khách hàng,1,Không công tác,Không,19000000,7,11,4,4,3,3,4,3,3,4,15,1,1,0,0,Không
NV20260587,34,Nam,Độc thân,Bình Dương,Toàn thời gian,Đại học,Marketing,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,2,Ít,Có,17900000,12,11,5,5,3,2,4,5,3,0,9,3,2,1,1,Không
NV20260588,20,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Đại học,Công nghệ thông tin,Công nghệ thông tin,Kỹ sư dữ liệu,1,Ít,Không,11400000,7,5,2,2,4,2,5,4,4,2,0,0,0,0,0,Có
NV20260589,25,Nam,Độc thân,Hà Nội,Toàn thời gian,Đại học,Kinh tế,Kinh doanh,Nhân viên kinh doanh,1,Thường xuyên,Không,14200000,7,12,4,2,5,4,5,3,3,1,0,0,0,0,0,Không
NV20260590,26,Nam,Độc thân,Hà Nội,Toàn thời gian,Cao đẳng,Công nghệ thông tin,Marketing,Chuyên viên marketing,3,Ít,Có,21200000,16,9,2,4,3,4,4,4,3,2,4,4,2,2,2,Không
NV20260591,33,Nữ,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Marketing,Tài chính - Kế toán,Chuyên viên tài chính,1,Thường xuyên,Có,20400000,11,18,3,4,4,4,4,1,2,1,15,1,1,0,0,Không
NV20260592,40,Nam,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,THPT,Tài chính,Kinh doanh,Nhân viên kinh doanh,3,Không công tác,Không,29600000,13,4,3,4,5,4,3,4,4,1,18,5,3,2,2,Không
NV20260593,44,Nữ,Đã kết hôn,Đà Nẵng,Toàn thời gian,Đại học,Kinh tế,Tài chính - Kế toán,Trưởng nhóm tài chính,3,Không công tác,Không,24200000,16,10,4,4,5,4,2,3,1,2,16,6,3,4,3,Không
NV20260594,30,Nam,Độc thân,Hà Nội,Toàn thời gian,Thạc sĩ,Nhân sự,Công nghệ thông tin,Lập trình viên,1,Ít,Có,16800000,16,4,4,1,3,4,2,3,2,2,0,0,0,0,0,Có
NV20260595,36,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Công nghệ thông tin,Nhân sự,Chuyên viên tuyển dụng,3,Không công tác,Không,20100000,11,1,2,4,2,5,4,3,4,4,8,5,2,2,3,Không
NV20260596,32,Nữ,Đã kết hôn,Bình Dương,Toàn thời gian,Thạc sĩ,Khác,Marketing,Chuyên viên marketing,3,Ít,Có,21500000,11,20,4,3,5,4,5,3,0,1,4,4,2,2,2,Không
NV20260597,35,Nữ,Độc thân,Hà Nội,Toàn thời gian,Thạc sĩ,Khác,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,3,Không công tác,Không,23100000,12,1,4,5,2,3,4,4,1,1,7,5,4,3,2,Không
NV20260598,41,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Thạc sĩ,Khác,Vận hành,Trưởng nhóm vận hành,2,Không công tác,Không,23900000,9,12,4,5,4,5,5,3,4,0,20,3,2,1,2,Không
NV20260599,32,Nữ,Độc thân,Đà Nẵng,Toàn thời gian,Cao đẳng,Nhân sự,Marketing,Chuyên viên nội dung,3,Ít,Không,24300000,7,10,4,3,4,4,3,3,4,2,11,6,4,1,3,Không
